ID,TIPO,TELL,HLL,BONIFICACION,TE,TE + Bonificacion,Hora Inicio Buffer,Hora Inicio Servicio,Hora Finalización Servicio,Orden de atencion,Numero de servidores
17,Bancario,36.43878385728118,817.2186717726208,400,2.8770664125524945,402.8770664125525,900,1700,2800,8,7
18,Usuarios,52.72642844827149,869.9451002208923,0,309.2669154390394,309.2669154390394,10500,11700,13500,38,7
19,Bancario,35.08207605299879,905.0271762738911,400,274.1848393860406,674.1848393860406,4200,5600,7300,22,7
20,Bancario,18.377234757138748,923.4044110310298,400,255.8076046289019,655.8076046289019,4600,6200,7900,23,7
21,Usuarios,4.2495005744178735,927.6539116054477,0,251.55810405448403,251.55810405448403,10600,12000,13600,39,7
22,Personal,34.278490562755785,961.9324021682035,1000,217.27961349172824,1217.2796134917282,1800,2800,4200,13,7
23,VIP,32.625336710436734,994.5577388786402,1800,184.65427678129151,1984.6542767812916,1200,1800,3400,9,7
24,Bancario,1.6468437295815244,996.2045826082217,400,183.00743305171,583.00743305171,5600,7300,8900,25,7
25,VIP,49.70641261129916,1045.9109952195208,1800,133.30102044041087,1933.3010204404109,1500,1800,3500,10,7
26,Bancario,9.294591668190423,1055.2055868877112,400,124.00642877222049,524.0064287722205,7300,7900,9400,28,7
27,Bancario,1.0835749731053501,1056.2891618608166,400,122.92285379911505,522.922853799115,7400,8900,10500,29,7
28,Bancario,4.474461453695404,1060.763623314512,400,118.44839234541973,518.4483923454197,7800,8900,10600,30,7
29,Personal,17.914382883166837,1078.6780061976788,1000,100.53400946225293,1100.534009462253,2800,4000,5500,17,7
30,Personal,68.94928171105248,1147.6272879087312,1000,31.58472775120049,1031.5847277512005,3400,4200,5600,18,7
31,Bancario,23.393384814077365,1171.0206727228085,400,8.191342937123181,408.1913429371232,9800,11600,13200,37,7
32,Personal,42.04842151754078,1213.0690942403494,1000,242.22300243872633,1242.2230024387263,1800,2300,4000,12,7
33,Personal,55.61590880836403,1268.6850030487135,1000,186.60709363036221,1186.6070936303622,2000,2800,4600,14,7
34,Bancario,18.64945543497146,1287.334458483685,400,167.9576381953907,567.9576381953907,6200,7400,9300,26,7
35,Bancario,144.61708269737377,1431.9515411810587,400,23.34055549801701,423.340555498017,9300,10500,12200,35,7
36,Bancario,12.676236001242717,1444.6277771823013,400,10.664319496774397,410.6643194967744,9400,10600,12400,36,7
37,Bancario,116.75913338922355,1561.3869105715248,400,136.10320905303706,536.1032090530371,6700,7800,9800,27,7
38,Transferido,21.697771027616238,1583.084681599141,0,114.40543802542084,114.40543802542084,11600,12200,15300,40,7
39,VIP,65.98896881267935,1649.0736504118204,1800,48.416469212741504,1848.4164692127415,1700,2000,4200,11,7
40,Bancario,22.71012390616024,1671.7837743179807,400,25.70634530658117,425.70634530658117,9300,9800,12000,34,7
41,Bancario,54.81625030330925,1726.60002462129,400,44.778404194565155,444.77840419456516,8900,9300,11600,32,7
42,Bancario,182.92376780221588,1909.523792423506,400,61.86595183861732,461.8659518386173,7900,9300,11700,31,7
43,Bancario,125.01943377722229,2034.5432262007282,400,225.8606168395852,625.8606168395852,5500,6700,9300,24,7
44,Personal,70.98729710611335,2105.5305233068416,1000,154.87331973347182,1154.8733197334718,2300,3400,6200,15,7
45,Usuarios,66.80514913097551,2172.3356724378173,0,88.06817060249614,88.06817060249614,12000,12400,15100,42,7
46,Bancario,57.663079105497474,2229.998751543315,400,30.405091496998466,430.40509149699847,8900,9400,12200,33,7
47,Bancario,62.98919812588341,2292.9879496691983,400,478.96925238990616,878.9692523899062,3500,4200,7400,19,7
48,Bancario,44.34158942341985,2337.3295390926182,400,434.62766296648624,834.6276629664862,4000,4600,7800,20,7
49,Bancario,125.59291749112703,2462.9224565837453,400,309.03474547535916,709.0347454753592,4200,5500,8900,21,7
50,Personal,10.278607453132167,2473.2010640368776,1000,298.7561380222269,1298.7561380222269,2800,3500,6700,16,7
1,Bancario,37.05505404995214,37.05505404995214,400,0,0,0,0,700,0,8
2,Bancario,9.230858030676048,46.28591208062819,400,0,0,0,0,400,0,8
3,Bancario,110.4666180272919,156.75253010792008,400,0,0,0,0,600,0,8
4,Personal,7.842362505874227,164.59489261379431,1000,0,0,0,0,800,0,8
5,Bancario,11.242170061764055,175.83706267555837,400,0,0,0,0,800,0,8
6,Transferido,88.46696270324169,264.3040253788001,0,0,0,0,0,1300,0,8
7,Usuarios,33.66808262337885,297.9721080021789,0,0,0,0,0,700,0,8
8,Bancario,39.03202703665097,337.0041350388299,400,0,0,0,0,700,0,8
9,Usuarios,16.317020054827413,353.3211550936573,0,23.717798655675153,23.717798655675153,400,400,1200,0,8
10,Bancario,45.51289414767086,398.83404924132816,400,174.0321851097919,574.032185109792,600,600,1700,1,8
11,Bancario,158.0800975629319,556.9141468042601,400,15.952087546859957,415.95208754685996,600,700,1700,2,8
12,Personal,95.64156748587772,652.5557142901378,1000,17.64966939290298,1017.649669392903,700,700,1700,3,8
13,Bancario,46.900403151192116,699.4561174413299,400,6.856029791642754,406.85602979164275,800,800,1700,4,8
14,Personal,172.5600394116925,872.0161568530224,1000,230.75092146511145,1230.7509214651113,1200,1200,2600,5,8
15,Bancario,23.427527015393725,895.4436838684161,400,207.32339444971774,607.3233944497177,1200,1700,3200,7,8
16,Bancario,45.23809296843147,940.6817768368476,400,162.08530148128625,562.0853014812863,1200,1700,3300,8,8
17,Empresas,23.053749168273555,963.7355260051211,400,139.03155231301275,539.0315523130128,1300,1700,3700,9,8
18,Bancario,17.066137230034652,980.8016632351557,400,121.9654150829781,521.9654150829781,8000,10100,11600,28,8
19,Bancario,11.250192941772674,992.0518561769284,400,110.71522214120546,510.71522214120546,9600,10200,11600,29,8
20,Especial,11.030023727578243,1003.0818799045066,1000,99.68519841362718,1099.6851984136272,1200,1300,2700,6,8
21,Bancario,86.25977967590099,1089.3416595804076,400,13.425418737726204,413.4254187377262,11400,11800,13100,35,8
22,Usuarios,21.275467508134636,1110.6171270885422,0,140.44748779236625,140.44748779236625,13500,14400,16200,40,8
23,Bancario,129.865810453111,1240.4829375416532,400,10.581677339255293,410.5816773392553,11600,13100,14700,36,8
24,Transferido,28.034896824720885,1268.517834366374,0,341.85843600272165,341.85843600272165,11600,13500,16300,37,8
25,Bancario,136.11184741230124,1404.6296817786751,400,205.74658859042052,605.7465885904205,1700,3200,5200,13,8
26,Bancario,17.13160379227688,1421.761285570952,400,188.61498479814372,588.6149847981437,6700,8000,10100,25,8
27,Usuarios,15.579414516251104,1437.340700087203,0,173.03557028189266,173.03557028189266,13100,14400,16500,39,8
28,Bancario,28.970850236599286,1466.3115503238023,400,144.06472004529337,544.0647200452934,7800,9600,11400,26,8
29,Bancario,17.468636245568632,1483.780186569371,400,126.59608379972474,526.5960837997247,7900,9600,11800,27,8
30,Personal,38.31259729217719,1522.092783861548,1000,88.28348650754765,1088.2834865075477,1700,1700,3700,10,8
31,Empresas,19.560050558025534,1541.6528344195735,400,68.72343594952213,468.7234359495221,10100,10900,14400,31,8
32,Bancario,96.43513806207704,1638.0879724816505,400,25.873569847648014,425.873569847648,10200,11400,13500,32,8
33,Personal,5.550528436009972,1643.6385009176604,1000,20.323041411638087,1020.3230414116381,1700,2600,4700,11,8
34,Personal,32.1556201839879,1675.7941211016482,1000,14.517007822279083,1014.5170078222791,1700,2700,4900,12,8
35,Bancario,192.66687533397976,1868.460996435628,400,653.4564613321479,1053.456461332148,3200,3700,6600,16,8
36,Bancario,61.669822309720175,1930.130818745348,400,591.7866390224278,991.7866390224278,3300,4700,7800,17,8
37,Bancario,1.099849806898281,1931.2306685522462,400,590.6867892155296,990.6867892155296,3700,4900,7900,18,8
38,Bancario,93.41012166994287,2024.640790222189,400,497.27666754558686,897.2766675455869,3700,5200,8000,19,8
39,Empresas,13.129910430538866,2037.7707006527278,400,484.1467571150481,884.1467571150481,4700,6300,10200,20,8
40,Bancario,133.97686042017028,2171.747561072898,400,350.16989669487793,750.1698966948779,4900,6600,9600,21,8
41,VIP,21.083331571202613,2192.8308926441005,1800,329.0865651236754,2129.0865651236754,2600,3300,6300,14,8
42,Bancario,82.1054683884,2274.9363610325004,400,246.98109673527551,646.9810967352755,5200,6700,9600,22,8
43,Bancario,1.540325887244063,2276.476686919744,400,245.44077084803166,645.4407708480317,6300,7800,10700,23,8
44,Bancario,39.18642665960796,2315.6631135793523,400,206.2543441884236,606.2543441884236,6600,7900,10900,24,8
45,Usuarios,18.162851770626077,2333.8259653499786,0,188.09149241779733,188.09149241779733,11800,13700,16700,38,8
46,Bancario,78.30026286231093,2412.1262282122893,400,109.79122955548655,509.79122955548655,9600,10700,13700,30,8
47,Usuarios,22.980524380964603,2435.106752593254,0,86.8107051745219,86.8107051745219,13700,14700,17600,41,8
48,Bancario,68.7890033253165,2503.8957559185706,400,18.02170184920533,418.02170184920533,10900,11600,14400,34,8
49,Personal,48.864842383624755,2552.7605983021954,1000,88.73600983157257,1088.7360098315726,2700,3700,6700,15,8
50,Usuarios,174.7705431324993,2727.5311414346947,0,425.7237097380571,425.7237097380571,10700,11600,15300,33,8
1,Bancario,52.06118263918024,52.06118263918024,400,0,0,0,0,400,0,9
2,Bancario,24.907486209283253,76.9686688484635,400,0,0,0,0,400,0,9
3,Bancario,37.68751894853417,114.65618779699767,400,0,0,0,0,600,0,9
4,Usuarios,78.00768769315437,192.66387549015204,0,0,0,0,0,600,0,9
5,Bancario,46.121622116394526,238.78549760654656,400,0,0,0,0,600,0,9
6,Personal,55.307957950461116,294.0934555570077,1000,0,0,0,0,600,0,9
7,Bancario,127.47830070409873,421.57175626110643,400,0,0,0,0,1000,0,9
8,Usuarios,52.108292998150446,473.68004925925686,0,0,0,0,0,1000,0,9
9,Bancario,45.6099735805217,519.2900228397785,400,0,0,0,0,900,0,9
10,Especial,80.05690004021075,599.3469228799893,1000,264.522626097321,1264.5226260973209,900,900,2300,0,9
11,Bancario,31.710675534122185,631.0575984141115,400,232.81195056319882,632.8119505631988,900,1000,2200,2,9
12,Bancario,14.680931482084079,645.7385298961956,400,218.1310190811147,618.1310190811147,900,2200,3500,3,9
13,Usuarios,5.295698132961218,651.0342280291568,0,212.83532094815348,212.83532094815348,28900,31700,33000,37,9
14,Bancario,21.424753533996768,672.4589815631535,400,191.41056741415673,591.4105674141567,1000,2200,3300,4,9
15,Bancario,15.154355637708324,687.6133372008619,400,176.25621177644837,576.2562117764484,1000,2300,3600,5,9
16,Usuarios,16.685073449782237,704.2984106506442,0,159.57113832666607,159.57113832666607,29200,32400,33600,38,9
17,Bancario,48.213909851564445,752.5123205022087,400,111.35722847510158,511.3572284751016,23600,26100,27500,30,9
18,Personal,66.90103926049547,819.4133597627042,1000,44.45618921460607,1044.4561892146062,900,1000,2200,1,9
19,Bancario,98.22115833428217,917.6345180969863,400,31.233510224395786,431.2335102243958,24800,27500,28900,32,9
20,Usuarios,97.84587724726119,1015.4803953442475,0,1090.893889577338,1090.893889577338,13400,16100,18500,20,9
21,Usuarios,76.0872290945693,1091.567624438817,0,1014.8066604827686,1014.8066604827686,17600,20900,23600,24,9
22,Bancario,33.73742512204121,1125.3050495608582,400,981.0692353607274,1381.0692353607274,6000,8600,11300,12,9
23,Personal,35.12418954924313,1160.4292391101012,1000,945.9450458114843,1945.9450458114843,2200,3500,6000,7,9
24,Personal,7.256363893151579,1167.6856030032527,1000,938.6886819183328,1938.6886819183328,2300,3600,6100,8,9
25,Usuarios,37.51833337959487,1205.2039363828476,0,901.1703485387379,901.1703485387379,18500,21500,24200,25,9
26,Bancario,11.952906116082081,1217.1568424989296,400,889.217442422656,1289.217442422656,6100,9800,12300,14,9
27,Personal,81.50112567944383,1298.6579681783735,1000,807.716316743212,1807.716316743212,3500,6000,8600,10,9
28,Bancario,103.60999873776163,1402.267966916135,400,704.1063180054505,1104.1063180054505,11300,15100,17600,18,9
29,Bancario,12.643662003048492,1414.9116289191836,400,691.4626560024019,1091.462656002402,12300,16000,18700,19,9
30,Usuarios,44.544726676302254,1459.4563555954858,0,646.9179293260997,646.9179293260997,20900,23600,26100,27,9
31,Bancario,13.95481596327359,1473.4111715587594,400,632.9631133628261,1032.963113362826,16000,18500,20900,22,9
32,Bancario,288.57044187457893,1761.9816134333382,400,344.3926714882473,744.3926714882473,18700,22200,24800,26,9
33,VIP,0.3098033927663967,1762.2914168261045,1800,344.082868095481,2144.082868095481,2200,3300,6000,6,9
34,Usuarios,2.246579987268031,1764.5379968133725,0,341.836288108213,341.836288108213,28300,31400,33800,36,9
35,Personal,106.02485856744141,1870.562855380814,1000,235.81142954077154,1235.8114295407715,9800,13400,16100,17,9
36,Bancario,10.820681137542074,1881.383536518356,400,224.99074840322942,624.9907484032294,21500,24200,26600,28,9
37,Empresas,102.01352650186564,1983.3970630202218,400,122.97722190136369,522.9772219013637,22200,24800,28300,29,9
38,Usuarios,51.354059743780525,2034.7511227640023,0,71.62316215758324,71.62316215758324,31400,33000,35500,39,9
39,Bancario,11.490366014437658,2046.24148877844,400,60.13279614314547,460.13279614314547,24200,26600,29200,31,9
40,Bancario,41.25523678281444,2087.4967255612546,400,18.877559360330906,418.8775593603309,26600,28900,31400,34,9
41,Usuarios,53.80774418220824,2141.304469743463,0,65.5475590652868,65.5475590652868,31700,33600,36100,40,9
42,Empresas,43.13222534815479,2184.436695091618,400,22.415333717131944,422.41533371713194,26100,28300,32400,33,9
43,Bancario,10.121396421864851,2194.558091513483,400,12.293937295266915,412.2939372952669,27500,29200,31700,35,9
44,Usuarios,20.096804508865027,2214.6548960223477,0,1053.9524516134547,1053.9524516134547,15100,17600,21500,21,9
45,Usuarios,31.354282429728546,2246.0091784520764,0,1022.598169183726,1022.598169183726,16100,18700,22200,23,9
46,Bancario,11.610492225487029,2257.6196706775636,400,1010.9876769582388,1410.9876769582388,3600,6100,9800,11,9
47,Bancario,67.56634416163801,2325.1860148392016,400,943.4213327966008,1343.4213327966008,6000,9800,13400,13,9
48,Personal,23.34929456589389,2348.5353094050956,1000,920.0720382307068,1920.0720382307068,3300,6000,9800,9,9
49,Bancario,52.33642617271846,2400.871735577814,400,867.7356120579884,1267.7356120579884,8600,11300,15100,15,9
50,Bancario,31.08255611397038,2431.9542916917844,400,836.653055944018,1236.653055944018,9800,12300,16000,16,9
1,Bancario,45.42914602082272,45.42914602082272,400,0,0,0,0,500,0,10
2,Bancario,9.232629502190413,54.661775523013134,400,0,0,0,0,600,0,10
3,Personal,11.132231848083096,65.79400737109623,1000,0,0,0,0,500,0,10
4,Bancario,25.56680798166199,91.36081535275822,400,0,0,0,0,400,0,10
5,Empresas,6.109975638719821,97.47079099147804,400,0,0,0,0,2200,0,10
6,Usuarios,1.2861141433859589,98.756905134864,0,0,0,0,0,500,0,10
7,Especial,42.62793636202286,141.38484149688685,1000,0,0,0,0,600,0,10
8,Bancario,8.958768885878005,150.34361038276487,400,0,0,0,0,800,0,10
9,Usuarios,63.48193890905613,213.825549291821,0,0,0,0,0,700,0,10
10,Bancario,121.07002742590008,334.8955767177211,400,0,0,0,0,700,0,10
11,Bancario,29.45175738089432,364.3473340986154,400,39.54528571609433,439.5452857160943,500,500,1100,0,10
12,Bancario,17.77678865515119,382.1241227537666,400,21.76849706094316,421.76849706094316,500,500,1200,1,10
13,Bancario,9.447413357664715,391.5715361114313,400,12.321083703278418,412.3210837032784,500,500,1400,2,10
14,Bancario,21.287967126781453,412.85950323821277,400,20.214718093027898,420.2147180930279,500,600,1600,3,10
15,Bancario,6.434350643609573,419.2938538818223,400,13.78036744941835,413.78036744941835,500,600,1500,4,10
